Theme,Total_Frequency,Example_Description,Universities_Covered
**User Training & Access Control**,3,"Procedures to train staff/students, authorize access, and revoke it when users leave.",1
**Use‑Case Guidelines (Allowed/Disallowed)**,3,"Clear distinctions between prohibited, permission‑only, acknowledgement‑required, and free‑use scenarios.",1
**Vendor / Contractor Compliance**,3,Contractual safeguards ensuring external partners comply with university policies when using GenAI.,1
**Vendor Collaboration & Procurement**,3,"Working with vendors, purchasing procedures, and licensing.",1
**Verification & Cross‑Referencing**,3,"Emphasis on fact‑checking, comparing results, and drawing own conclusions.",1
**Working Group & Review Process**,3,"Mention of the working group’s formation, report review by the Provost, and ongoing assessment of AI developments.",1
**Workload Estimation**,3,"Reference to workload calculators (Rice, BC) to gauge student effort vs faculty effort.",1
**Writing Assistance & Collaboration**,3,Using ChatGPT as a “writing partner” and reflecting on human‑AI collaboration in written work.,1
AI/ML Prohibition,3,"Explicitly forbids the use of artificial‑intelligence or machine‑learning tools (e.g., ChatGPT, DALL‑E) on assignments, discussions, exams, and presentations in this course.",1
Academic Misconduct,3,"Defines what constitutes academic misconduct and lists common examples (plagiarism, unauthorized help, etc.).",1
Content Responsibility / Accuracy,3,Stresses that GenAI outputs can be inaccurate; users must verify before relying on them.,1
Education & Student Involvement,3,"Professors and graduate students are actively engaged in research, project execution, and talent scouting for partner firms.",1
Industry Collaboration / Co‑innovation,3,The Center partners with external organizations to work on practical data‑science projects and provide internships or talent pipelines.,1
Misconduct / Dishonesty,3,"General category of prohibited behavior, referenced repeatedly throughout the text.",1
Policy Updates/Amendments,3,References to revisions effective Fall 2023 and their impact on prior catalogs.,1
Regulatory Compliance,3,"Calls for adherence to all applicable federal, state, local laws and institutional policies (FERPA, HIPAA, IP, export controls).",1
Resources & Guidance,3,"References to university policy documents, faculty resources, and the Honor Code for further support.",1
Responsible Use,3,Encourages measured experimentation with GenAI/LLM while maintaining institutional values.,1
Student Maturity,3,"Calls for developing mature, intentional learners who understand AI’s opportunities and limits.",1
Student Responsibility,3,Emphasizes that students should seek instructor clarification and ensure their work reflects personal knowledge.,2
Student Writing Insight,3,"Strategies for gauging students’ writing styles (reflections, discussion boards) to better assess originality.",1
Transparency,3,"Highlights the need for clear disclosure of AI involvement in research, teaching, and publications.",2
**AI Detection & Institutional Tools**,2,"Mentions Turnitin’s AI detection tool, licensing changes, and the university’s evaluation of such tools.",1
**AI Detection Tools / FERPA**,2,Advises against using AI‑text detectors because they can violate privacy and exhibit bias.,1
**AI Detection**,2,Discussion of the Turnitin AI‑detection feature and its planned expiration.,1
**AI Literacy Development**,2,"Building student skills in evaluating, citing, and responsibly using generative AI tools.",1
**AI Prohibition**,2,A clear rule that students must not use AI tools for assignments unless explicitly allowed.,1
**AI Research Leadership**,2,Positioning Tulane as a national leader in AI research and application through new centers.,1
**AI Terminology & Definitions**,2,"Basic explanations of AI concepts (LLMs, RLHF, hallucinations, prompts) to orient users.",1
**AI Tool Support**,2,The university encourages students to explore and use AI‑powered research tools.,1
**AI in Research Ethics**,2,Research use of AI must adhere to rigorous ethical standards and risk assessment.,1
**AI‑Related Misconduct**,2,Mentions of undisclosed or prohibited use of artificial intelligence (AI) as a form of academic misconduct.,1
**Academic Use Governance**,2,Guidance that teaching‑learning use is governed by the Provost’s Committee on Generative AI and IT.,1
**Academic integrity**,2,"The broader standard of honest, ethical academic conduct (cheating, plagiarism).",1
**Access & Availability Issues**,2,"High usage volume can make ChatGPT difficult to access, potentially impacting assignment deadlines and live classroom use.",1
**Accessibility & Accommodations**,2,Notes that blanket bans on technology can disadvantage students with accommodations and suggests inclusive alternatives.,1
**Accessibility & Inclusivity**,2,"Leveraging transcription, translation, and other AI services to broaden access for diverse learners.",1
**Accessibility**,2,"Ensuring AI tools are usable by all students, including those needing accommodations.",1
**Accuracy & Reliability Issues**,2,"Notes that generative AI cannot verify its outputs, leading to potential misinformation or errors.",1
**Accuracy & Reliability of AI Output**,2,Emphasis on verifying AI‑generated information before publication and acknowledging potential inaccuracies or bias.,1
**Accuracy / Hallucinations**,2,Warns that AI output can be inaccurate or fabricated; users must verify content before publication.,1
**Active Learning & Engagement**,2,"Deployment of chatbots, virtual tutors, and interactive tools that prompt discussion, critical thinking, and real‑time feedback.",1
**Advisory Committee Approval**,2,Students must obtain explicit permission from their committee before using AI in a dissertation or thesis.,1
**Appropriate Use & Misuse**,2,"The policy must state whether GenAI can be used, which tools are permitted, what counts as misuse, and the instructor’s response to violations.",1
**Approval & Disclosure Requirements**,2,Graduate students must obtain prior approval from their committee/faculty advisor and disclose AI usage in final products.,1
**Artificial Intelligence (AI) Policy**,2,Establishment of a policy concerning the unauthorized use of AI tools.,1
**Assessment & Feedback Automation**,2,"AI’s role in grading, providing instant feedback, and offering insights into student progress to free up faculty time.",1
**Assessment & Learning Goals**,2,"Linking AI use to assessment criteria and learning outcomes, sharing successful assignment examples.",1
**Assignment Design / Mitigation**,2,"Suggestions for adjusting assignments so that AI usage is detectable or discouraged (e.g., CIETL Resource Hub).",1
**Authentic Assessment**,2,Focuses on measuring genuine student understanding through assignments that reflect individual effort.,1
**Benefits vs. Dangers**,2,Highlights the dual nature of AI—its benefits for learning/work and potential risks/dangers that must be managed.,1
**Benefits vs. Drawbacks**,2,The text acknowledges AI’s educational benefits while noting its risks to integrity.,1
**Bias & Ethics**,2,Mentions AI reiterating biases from training data and the need to discuss ethics.,1
**Bias & Inaccuracy**,2,It highlights that GAI outputs can be biased or inaccurate and must be critically reviewed before use.,1
**Brainstorming with AI**,2,Using ChatGPT to generate ideas and help students overcome writer’s block.,1
**Campus Partnership/Support**,2,ITS’s role as a partner that brings new tech to users while addressing concerns.,1
**Centralized Resources Hub**,2,"Refers to USF’s genAI website as a single source of information, guidelines, news, and events.",1
**Cheating / Academic Dishonesty**,2,"Refers to any form of cheating or assisting others to cheat, which is prohibited.",1
**Cheating / Plagiarism Concerns**,2,The policy frames AI use as a potential risk for dishonest behavior such as cheating and plagiarism.,1
**Cheating accusations & detection tools**,2,Discussion of false positives/negatives from AI‑detection software and how to respond.,1
**Citation / Acknowledgement**,2,"If use is allowed, students must cite AI assistance explicitly, following style‑guide or custom “Acknowledgement of Use” statements.",1
**Citation Practices**,2,Notes the need to address citing AI sources academically.,2
**Collaborative Learning & Study Skills**,2,Highlights the center’s mission to foster teamwork and study skill development alongside AI use.,1
**Communication & Collaboration**,2,"Encouragement for faculty to work together, be patient, and engage in dialogue about AI’s impact on teaching and learning.",1
**Communication & Syllabi**,2,Requirement for clear expectations in course syllabi and communication with students.,1
**Communication / Detection**,2,Instructors are encouraged to notify students of potential AI‑detection software and provide clear advance notice.,1
**Communication Channels**,2,"Mentions verbal communication, Canvas postings, and syllabus inclusion as ways to inform students of policy.",1
**Communication Requirements**,2,Students must seek clarification from instructors—preferably in writing—before using AI when policy is unclear.,1
**Community Engagement / Advisory Council**,2,Formation of an AI Roundtable/Advisory Council to discuss AI issues across the university community.,1
**Compliance & Governance**,2,"References to institutional, federal grant, and publication policies that restrict or regulate AI usage.",1
**Content Accuracy & Ownership**,2,Emphasis that AI‑generated content may be misleading or infringe copyright; users must verify accuracy and ownership.,1
**Content Creation & Media Production**,2,"Tools for generating visual content, recording video, or streaming (e.g., BioRender, OBS).",1
**Continuous Improvement / Monitoring**,2,"Ongoing evaluation, auditing, and updating of security/compliance measures.",1
**Continuous Learning & Updates**,2,Encouragement to stay informed about evolving GenAI capabilities and update practices accordingly.,1
**Continuous Update & Innovation**,2,Statement that guidance will evolve each semester as technology advances.,1
**Copyright**,2,"Uncertainty around authorship, fair‑use guidance, and how modifications affect protection.",1
**Course Content Enhancement**,2,"Use of AI‑driven analysis to assess relevance, quality, gaps, and suggest improvements in course materials.",1
**Credit Fraud**,2,Any act designed to obtain academic credit or recognition that is not properly earned.,1
**Critical Reading & Evaluation**,2,"Advising faculty to scrutinize claims, citations, and logical coherence for AI artifacts.",1
**Critical Thinking & Creativity**,2,The challenge of preserving human cognitive skills in an era where AI can generate content.,1
**Cybersecurity / Phishing**,2,Warns that generative‑AI can facilitate phishing attacks and urges adherence to security best practices.,1
"**DEIB (Diversity, Equity, Inclusion, Belonging)**",2,"Leveraging AI to produce inclusive content, reduce bias, and support all students.",1
**Data Literacy & Pedagogy**,2,Emphasis on improving data skills across all disciplines for students and faculty.,1
**Definition**,2,Explains what generative AI is and how it produces original content.,1
**Democratic & Societal Impact**,2,Notes the broader societal risks of disinformation and the role of education in mitigating them.,1
**Departmental / Program Flexibility**,2,"Colleges, schools, departments, or programs may add specific clarifications or limitations beyond the general policy.",1
**Detection & Assessment Tools**,2,Professors are encouraged to use AI‑text‑generation detection tools to gauge machine‑generated content in submissions.,1
**Detection Challenges**,2,Highlights the difficulty of detecting AI‑generated text and advises honest grading over technical detection tools.,1
**Detection Tools & Accuracy**,2,Mention that AI‑detection tools are unreliable (false positives/negatives).,1
**Device & Resource Restrictions**,2,"Prohibits use of calculators, phones, digital devices unless explicitly allowed by the instructor.",1
**Dialogue / Turing Test**,2,"Conducting conversations between students and ChatGPT to explore AI strengths, limits, and the concept of passing the Turing test.",1
**Disclosure & Accountability**,2,"Advises users to disclose AI use, check restrictions, and consult supervisors or editors.",1
**Disclosure**,2,Students must cite and document the use of generative AI tools whenever they appear in assignments or other submissions.,1
**Education & Pedagogy**,2,"Provides a flexible framework for faculty to decide how, when, and whether to allow AI in teaching.",1
**Educational Impact**,2,"How technology, including AI, can aid or undermine learning.",1
**Educational Outreach**,2,"The committee’s responsibility to develop materials (syllabi guidelines, discussions) that educate students and faculty on plagiarism and integrity.",1
**Enforcement & Sanctions**,2,Links misuse to violations of academic integrity and outlines potential sanctions.,1
**Equity / Bias Awareness**,2,Recognition that certain student groups face higher accusations of plagiarism/cheating; policies should consider these biases.,1
**Ethical & Labor Implications**,2,"Highlights ethical concerns around how AI tools are developed, deployed, and their impact on labor practices in academia.",1
**Ethical & Responsible Use Guidelines**,2,"Development of policies for safe, accountable AI deployment (accuracy, bias, privacy).",1
**Ethical & Safe Use of AI**,2,"Guidance on privacy, personal data protection, and ethical considerations when interacting with chatbots.",1
**Ethical Considerations & Limitations**,2,"Covers the broader ethical issues surrounding AI use, including bias, misinformation, and the need for critical evaluation of outputs.",1
**Ethical Grey Area / Uncertainty**,2,Emphasizes that ethical guidance is still evolving and that researchers must navigate this uncertainty.,1
**Ethical Use of AI in Education/Research**,2,"Implied through careful disclosure, use of professional GPT, and blending human intuition with machine output.",1
**Ethics & Bias Checking**,2,"Requirement to review AI output for bias, discrimination, accuracy, citations, and ethical issues.",1
**Evidence & Detection**,2,Discusses how AI‑generated evidence will be handled in Honor hearings and tool reliability.,1
**FERPA & Institutional Compliance**,2,"Notes on FERPA compliance for university‑approved tools (e.g., Copilot) and restrictions on third‑party services.",1
**Faculty & Student Guidance**,2,Separate FAQs and guidance for faculty and students on AI use in teaching/research.,1
**Faculty Consultation**,2,Mandates that students discuss AI use with instructors before submitting work.,1
**Faculty Discretion / Syllabus Statements**,2,"Faculty may decide whether or not to allow generative AI, but must clearly state their expectations in the syllabus.",1
**Faculty Guidance & Resources**,2,"Encouraging experimentation, offering suggestions, and pointing to external resources (CDLI Padlet).",1
**Faculty Integration & Support**,2,Emphasizes the need to equip faculty with knowledge and tools to incorporate genAI into courses.,1
**Faculty Training & Support**,2,"It highlights early faculty training initiatives, including sessions that introduce AI tools and provide professional development resources.",1
**Faculty/Staff/Student Roles**,2,"Mention of faculty collaboration, staff adoption, and students’ use under existing integrity rules.",1
**Faculty/Staff/Student Support**,2,Links to teaching/research resources and syllabus guidance for responsible AI use.,1
**Fairness in Assessment**,2,"Addresses fairness concerns when students submit AI‑generated work, allowing instructors to verify authorship while protecting student rights.",1
**Feedback Solicitation**,2,Call for input from students and instructors on how AI is being used productively and responsibly.,1
**Funding & Resource Allocation**,2,Funding for AI Teaching Fellows and support from the office.,1
**Future Potential & Innovation**,2,"Stresses harnessing AI’s full potential for research, education and societal well‑being.",1
**Future Workforce / Career Impact**,2,Questions about how AI will shape career outlooks and student preparation.,1
**Future of Work & Industry Impact**,2,"Exploring how AI is reshaping professions such as journalism, advertising, entertainment.",1
**Future‑Proofing / Policy Review**,2,Statement that SMU will continue to update policies as the field evolves.,1
**Generative Models (GPT)**,2,"Mentions GPTs, neural networks, and generative text platforms as common examples.",1
**Graduate Assistantship Retention**,2,Mentions that loss of good standing triggers withdrawal from teaching/research assistantships.,1
**Graduate vs Undergraduate Handling**,2,Separate reporting channels and sanction authority for graduate students versus undergraduates.,1
**Group Work Responsibility**,2,All members of a group project are responsible for the integrity of the work.,1
**Guidelines**,2,The document’s purpose to provide guidance on how faculty should use AI tools in the classroom.,1
**Higher‑Order Thinking Emphasis**,2,"Specific advice to craft prompts that require synthesis, personal experience, and evaluation rather than simple summarization.",1
**Human‑AI Interaction**,2,Focus on how AI must interact with humans at unprecedented levels.,1
"**Human‑Centered Values (Health, Well‑Being, Dignity)**",2,"AI use should prioritize human safety, privacy, and dignity over automation.",1
**Human‑Only Aspects**,2,Identifying which parts of assignments remain uniquely human and how much AI help is acceptable.,1
**IT Vendor Management & Procurement**,2,Requires approval of all IT solutions—including generative‑AI tools—by the IT Vendor Management Program before use.,1
**Incident Response & Reporting**,2,Plans and reporting mechanisms (CSIRT) for breaches or data leaks involving AI tools.,1
**Industry Impact & Future Outlook**,2,"Notes how AI is transforming industries (e.g., Amazon, Netflix) and its broader societal implications.",1
**Industry Relevance**,2,Faculty emphasize preparing students for real‑world work that uses AI.,1
**Infrastructure & Learning Spaces**,2,"Highlighting state‑of‑the‑art, on‑campus learning environments.",1
**Innovation & Future‑Ready Mindset**,2,Promotes embracing AI to cultivate creativity and adaptability in professional fields.,1
**Institutional Monitoring & Updates**,2,"Loyola will continue to evaluate, respond, and share updates on AI’s opportunities and challenges.",1
**Institutional support & resources**,2,Mention of UCI’s expertise and ongoing updates to help faculty stay informed.,1
**Institutional vs Course‑Level Policy**,2,Distinction between university‑wide policy updates and individual course syllabus statements.,1
**Instructional Guidance & Best Practices**,2,"Recommendations for selective incorporation, augmentation, and validation rather than full replacement.",1
**Instructor Authority**,2,"Instructors decide how, or whether, students may use generative‑AI tools in their courses.",1
**Instructor Guidance & Support**,2,Encouragement to seek faculty help to navigate ethical use of AI tools.,1
**Instructor Guidance / Course Design**,2,"Advice on adjusting assignments, activities, and course structure to incorporate or mitigate AI usage.",1
**Intellectual Growth / Independent Work**,2,"Encourages students to develop critical thinking, problem‑solving, and independent learning.",1
**Intellectual Property & Consent**,2,Requirement to obtain IP approvals before inputting original works and the right of users to know when they are using AI tools.,1
**Intellectual Property (IP)**,2,Warns against copyright infringement and encourages attribution when using AI outputs.,1
**In‑Class Writing**,2,Recommending hand‑written or in‑class writing to reduce reliance on AI.,1
**Iterative Pedagogical Refinement**,2,"Encouragement for continuous reflection, evidence‑based adjustment, and student feedback integration.",1
**Learning / Exploration of ChatGPT**,2,"Steps for creating an account, experimenting with prompts, and understanding the tool’s functions.",1
**Learning Goals & Course Fit**,2,"Instructors must consider how GenAI aligns with the specific objectives, depth of subject matter, and overall student experience.",1
**Learning Outcomes / Skill Development**,2,"Addresses how over‑reliance may hinder critical thinking, writing, and human interaction.",1
**Liability & Authorship**,2,"Students are responsible for the accuracy of AI‑generated information, must authenticate authorship, and keep evidence (drafts, notes, version histories).",1
**Medical Diagnostics Research**,2,Mention of studies using computational tools for medical diagnostics.,1
**No Formal Policy**,2,"The university explicitly states it will not impose a formal, prescriptive policy on AI usage.",1
**Non‑Enforceability & Goodwill**,2,"The document notes that some provisions rely on goodwill, fairness, and character rather than enforceable rules.",1
**Notification & Record Updates**,2,"How decisions are communicated to instructors, deans, provost, and students; updating student records.",1
**Ongoing Dialogue & Penalties**,2,Encourages continuous conversations about penalties for unauthorized AI use and first‑time vs repeat offenders.,1
**Output Validation / Hallucinations**,2,"Emphasis on reviewing AI output for hallucinations, errors, bias, and ensuring factual accuracy before use.",1
**Pedagogical Appropriateness**,2,"Consideration of whether a tool fits learning goals, supports critical thinking, and respects student rights.",1
**Pedagogical Opportunities**,2,"Exploring how AI can transform teaching, learning, and assessment in innovative ways.",1
**Permissions / Prohibition**,2,Faculty may forbid AI‑generated material; violating this is an academic integrity breach.,1
**Personalized Learning & Feedback**,2,"Use of AI to give adaptive, individualized feedback and identify misconceptions.",1
**Phishing & Malicious Use**,2,Warning about AI‑enabled scams and reporting procedures.,1
**Phishing / Deepfakes**,2,Highlights the risk of AI‑enabled phishing and deepfake attacks; urges reporting suspicious messages.,1
**Plagiarism / Academic Integrity**,2,Highlights the risk of students submitting AI‑generated text as their own work.,1
**Plagiarism / Proper Credit**,2,"Emphasis on giving credit to ideas or content produced by others, including AI.",1
**Plagiarism Detection**,2,Reference to Turn‑itin analysis of assignments and AI‑generated content as potential plagiarism.,1
**Policy Alignment & Updates**,2,Reference to existing CSU/CSULB policies and the intent to update the guideline as technology evolves.,1
**Policy Alignment / Existing Rules**,2,Statement that these guidelines are built on top of existing university policies and do not create new ones.,1
**Policy Availability**,2,Whether the university has an official policy on generative‑AI use (ChatGPT).,1
**Policy Changes & Access Limits**,2,"The university no longer has access to certain AI‑detection indicators (e.g., Turnitin’s AI Writing Detection Indicator) and notes limited pilot usage.",1
**Policy Compliance & Feedback Loop**,2,Encourages compliance with the statement and invites feedback on outdated information via email.,1
**Policy Compliance (FERPA/PII)**,2,Explicit references to FERPA rights and PII restrictions.,1
**Policy Enforcement & Reporting**,2,Incidents are handled by faculty/leadership and reported to the Director of Academic Integrity and Provost’s office.,1
**Policy Flexibility & Adaptation**,2,"Calls for a “wait‑and‑see” approach, acknowledging evolving AI capabilities and institutional readiness.",1
**Policy Integration & Updates**,2,States that these guidelines build on existing university policy and will be updated as technology evolves.,1
**Policy References & Links**,2,"Citations of university policy URLs (e.g., https://www.yu.edu/academic-integrity) for further details.",1
**Policy**,2,Whether the university or instructors have formal rules about using ChatGPT.,1
**Practical Decision‑making**,2,Suggests using a worksheet or simple questions to determine acceptable AI uses in specific contexts.,1
**Preferred Tool**,2,Microsoft Copilot is designated as the university’s go‑to generative‑AI service for faculty and staff.,1
**Privacy & Data Sharing**,2,Discussion that user‑provided data may be accessible to others and the need for caution when sharing institutional data.,1
**Privacy & Information Security**,2,"Guidance on protecting confidential data, especially when using public generative‑AI tools, and adherence to existing CSU/CSULB security policies.",1
**Privacy & Surveillance Concerns**,2,Brief mention of ethical questions around privacy when using AI for monitoring academic work.,1
**Privacy / Data Protection**,2,The policy cautions against entering personal or private data into AI tools and highlights unresolved privacy questions.,1
**Professional Development & Market Demand**,2,Notes industry demand for AI skills and encourages ethical use and future‑oriented thinking in curricula.,1
**Professor‑Level Policy Variation**,2,Indicates that policies differ from one professor to another regarding AI usage.,1
**Proofreading & Accuracy**,2,"Human review for spelling, grammar, and factual correctness is mandatory before submission.",1
**Purpose / Scope of Policy**,2,"Statement that the document’s goal is safe, responsible AI use with a focus on data protection.",1
**Rapid change vs research lag**,2,Recognition that AI tools evolve faster than scholarly studies on their impact.,1
**Reference to External Examples**,2,Mentions Western Michigan University and Oklahoma State University as sources for sample statements.,1
**Reporting & Conduct Cases**,2,Process for documenting suspected violations and submitting cases to the Center for Community Standards.,1
**Reporting Misuse**,2,"Procedures for reporting unethical or harmful GenAI use to Title IX, General Counsel, HR, etc.",1
**Research & Preparation**,2,"Advises instructors to research AI mechanics, pros/cons, and existing policies before drafting.",1
**Research / Scholarly Misconduct Overlap**,2,Notes that certain academic‑integrity violations also fall under the university’s research misconduct policy.,1
**Research Division Oversight**,2,The Research Division collects disclosure information to better understand AI integration across the university.,1
**Research Use**,2,Encourages responsible deployment of AI in research while referencing task‑force guidance.,1
**Resource Repository (AI²)**,2,"A curated, continuously updated collection of FAQs, syllabus statements, and discipline‑specific guidance is provided to faculty.",1
**Resources & Further Reading**,2,"Links to university resources (e.g., Teaching & Learning Resource Center) for deeper exploration of AI in education.",1
**Resources & Trends**,2,"Refers to external resources (Harvard AI Pedagogy Project, Stay Current guide) for staying updated on AI tools and pedagogy.",1
**Responsible Use / Support**,2,"The policy stresses ongoing support and guidance for faculty, staff, and students to use generative AI responsibly.",1
**Risk Assessment**,2,Conducting thorough risk reviews to identify vulnerabilities and privacy risks.,1
**Scope & Applicability**,2,Applies to all on‑campus and online coursework at every instructional level.,1
**Scope of Resources**,2,"Enumerates the types of hardware, software, services, and cloud offerings considered part of university IT assets.",1
**Security / Phishing**,2,Warnings about malicious use of AI for phishing and links to safety resources.,1
**Sensitive Topics & Harm Prevention**,2,Caution against using GenAI on sensitive subjects and ensuring content does not cause offense or harm.,1
**Student Accountability / Verification**,2,Expectation that students verify AI outputs and are responsible for accuracy.,1
**Student Communication**,2,Emphasis on discussing AI expectations with students at the start of class.,1
**Student Conduct / Academic Misconduct**,2,"Reference to the Code of Student Rights, Responsibilities, and Conduct that governs academic integrity in relation to AI use.",1
**Student Conduct Office**,2,Referral of repeat violations to the Office of Student Conduct and Community Standards for further adjudication.,1
**Student Co‑construction**,2,Recommends involving students in drafting AI guidelines as a way to increase buy‑in and relevance.,1
**Student Engagement & Reflection**,2,Encourages prompts for students to reflect on their AI interactions and learning outcomes.,1
**Student Equity & Access**,2,Emphasis that learners need equitable access to generative AI and that people come first.,1
**Student Experience**,2,"Students report varied experiences—some allowed to use AI, others prohibited.",1
**Student Obligation & Contact**,2,Requires students to be familiar with the policy and directs them to contact instructors for clarification.,1
**Student Participation**,2,Students are invited to apply and serve on the task force and its sub‑committees.,1
**Student Privacy / FERPA**,2,Restrictions on uploading or sharing student work in AI systems due to privacy concerns.,1
**Student Workforce Readiness**,2,The opening paragraph frames AI as a tool students will use in the workplace and stresses its impact on employability.,1
**Supplementary Use of AI**,2,"Advice that AI should augment rather than replace critical thinking, research, and writing.",1
**Support & Consultation**,2,Availability of IT help (aiquestions@wustl.edu) for privacy‑compliant solutions and questions.,1
**Syllabus Language Guidance**,2,"Recommendation to include clear expectations for integrity in the syllabus, with template examples.",1
**Syllabus Policy**,2,Adding explicit statements about permissible AI use in course syllabi.,1
**Syllabus Statement / Academic Integrity**,2,Cites the required syllabus statement that governs AI use and plagiarism policy.,1
**Teaching & Pedagogical Guidance**,2,Mentions teaching recommendations (Masland 2023) and encourages instructors to reflect on integrating AI in courses.,1
**Teaching vs. student use of AI**,2,Distinguishing when instructors should explicitly teach the tool versus allowing independent student use.,1
**Technology Integration**,2,Balancing exploration/adaptation of new tech while maintaining learning quality.,1
**Technology Restrictions & Comparisons**,2,"Comparison of AI restrictions to other tech (calculators, Wikipedia) and the idea that some tools may be allowed for one assignment but not another.",1
**Transparency & Rationale**,2,Requiring clear statements of why AI is allowed or disallowed in a course.,1
**Trustworthy AI / Responsible Use**,2,Guidance on selecting AI tools that meet NIST’s trustworthy‑AI criteria and general safe‑use tips.,1
**Tutoring Restrictions**,2,Clarification that undergraduates cannot use unauthorized AI tutoring bots or services outside those approved by the Office of the Dean.,1
**Unauthorized AI Content**,2,Refers specifically to the illicit use of artificially generated content in coursework.,1
**Unauthorized Materials/Tools**,2,"Addresses the use of prohibited materials, techniques, applications, or devices (including AI) on academic assignments.",1
**Use Cases / Applications**,2,"Concrete examples of Pepperdine‑specific AI deployments (chatbot, imaging, ocean classification).",1
**Vendor Management**,2,Oversight of third‑party AI vendors for security and privacy compliance.,1
AI Integration in Education & Research,2,AI is being incorporated into teaching methods and research activities across the institution’s schools and departments.,1
AI Learning Support,2,"The document acknowledges that generative AI can aid learning (e.g., study guides, flashcards, concept explanations) but cautions against overreliance or substitution for genuine engagement.",1
AI in classroom usage,2,Discusses how faculty may or may not use generative AI in teaching and the lack of a unified policy.,1
Active Learning Assessment,2,"Encourages formative assessment, multiple incentives, and continuous learning throughout the course.",1
Classroom Conduct,2,Expectations for behavior and material presentation in courses.,1
Evolving Guidance,2,"Indicates that the policy will be updated as technology, regulations, and commercial landscapes change.",1
Generative AI Policy,2,"Use of generative AI tools is governed by existing policies, leadership principles, and the Enterprise Code of Conduct.",1
Honor Code,2,"Extends Caltech’s honor code to AI use, prohibiting unfair advantage and promoting fairness.",1
Policy Absence,2,The text explicitly states that there is no formal policy in place.,2
Policy Critique,2,Questions the effectiveness of existing university policies that either push responsible use or discourage use.,1
Policy Enforcement / Honor Code,2,The policy references the university’s Honor Code and encourages students to report violations via a designated email address.,1
Student Handbook,2,Reference point for detailed conduct policies and procedures.,1
Syllabus Clarity,2,Calls to update syllabi with explicit statements about AI usage and academic expectations.,1
Syllabus Statements,2,Refers to faculty‑issued statements that clarify whether AI tools are allowed in a particular course.,1
Unauthorized Assistance,2,"The policy repeatedly references the concept of receiving help that is not permitted, framing it as a core violation.",1
**AI Resources & Tools**,1,Provision of explanatory materials (PDFs) on generative‑AI tools for educators and students.,1
**AI Tool Inventory**,1,"List of software packages under review or in use at Pepperdine (Asana, Google Gemini, Zoom).",1
**AI in Everyday Life**,1,"References AI’s presence in healthcare, finance, transportation, etc., to illustrate its ubiquity.",1
**AI‑Driven Knowledge Bases**,1,"Systems that aggregate open‑access research and provide AI‑powered Q&A (e.g., CORE‑GPT).",1
**AI‑Generated Work Misrepresentation**,1,Presenting content produced by artificial intelligence as one’s own.,1
**Academic Integrity / Work Integrity**,1,Ensuring AI use in job tasks upholds integrity at all university levels.,1
**Academic Integrity Alignment**,1,Advises instructors to consult the university’s Academic Dishonesty Policy when drafting AI rules.,1
**Academic Integrity Office / Reporting**,1,Mention of the Office of Academic Integrity as the body that handles suspected violations.,1
**Accessibility & Equity**,1,Calls for AI systems that meet accessibility standards and do not disadvantage any student group.,1
**Accessibility & Voice Input**,1,"Speech‑to‑text or voice‑control solutions that aid users with writing or mobility challenges (e.g., Nuance Dragon).",1
**Accuracy**,1,Emphasis on fact‑checking outputs because models can produce errors due to poor data or vague prompts.,1
**Administration & Other Uses**,1,"Outlines planned AI tools for staff with risk, security, and privacy safeguards.",1
**Algorithmic bias**,1,Potential biases in AI outputs that could affect fairness or accuracy.,1
**Appropriate Use**,1,AI can be beneficial in some contexts but should not undermine higher‑order learning; students must heed faculty guidance.,1
**Assessment & Grading Automation**,1,"Software that streamlines grading, assessment creation, and analytics (e.g., Gradescope).",1
**Assistance in Dishonesty**,1,Helping others commit any listed academic misconduct.,1
**Assistive Technologies**,1,"General mention of assistive technologies beyond AI, including expectations for their use.",1
**Best Bets List**,1,"A curated list of recommended free tools (Perplexity, Research Rabbit, Scispace).",1
**Best‑Practice Sharing**,1,The policy calls for sharing best practices among faculty and students regarding AI tools like ChatGPT or Bard.,1
**Bias & Accuracy**,1,"Warning that AI outputs can be biased, inaccurate, or contain copyrighted material; users should review and verify before publication.",1
**Bias & Gender Diversity**,1,Notes that AI models can inherit training‑data biases that may perpetuate inequality in educational content.,1
**Bias & Stereotyping**,1,Notes that AI can perpetuate biases in training data.,1
**Capabilities & Examples**,1,"Describes LLMs (e.g., GPT‑4) and their uses such as text generation, translation, summarization.",1
**Career Development in AI & Security**,1,Mentions graduate education as a path for professionals to stay current with AI‑cybersecurity trends.,1
**Case Records Repository**,1,States that the AI&I office serves as the central record‑keeping repository for all integrity cases.,1
**Cheating**,1,"Defines cheating as using or relying on unauthorized materials during class, homework, quizzes, tests, or exams.",1
**Citation & Reference Accuracy**,1,Highlighting AI’s difficulty with citations and encouraging checks for errors.,1
**Citation Deficiency**,1,"AI‑generated content often lacks proper citations, making it hard to verify sources.",1
**Citation Formats & Standards**,1,"Mentions specific citation practices (e.g., Monash University list) and style guide references.",1
**Citation Style Resources**,1,"Links to MLA, APA, Chicago style guides for AI citations.",1
**Citation guidelines**,1,"Rules for properly citing generative‑AI content (APA, MLA, Chicago).",1
**Code of Conduct Link**,1,Reference to the university’s broader Code of Conduct as a resource for additional guidance.,1
